,Customer,Building,BuildingType,Area,BuildingYear,Electricity2019,Electricity2020,Heating2019,Heating2020,Energy2019,Energy2020,EnergyperArea2019
89,Doppingarna,Salskrake,Kontor,4350,null,55.46414268,51.84093326,53.86545877,49.09250351,109.3296015,100.9334368,0.02513324171
271,Lommarna,Minervauggla,Flerbostadshus,2659,2016,8.187927792,8.603422339,57.091607,47.72771719,65.2795348,56.33113953,0.02455040797
307,Tranorna,Alkekung,Flerbostadshus,5913,1968,42.22476265,42.76677379,102.3394723,80.75934381,144.564235,123.5261176,0.02444854304
29,Trädhönsen,Vitvingad Lärka,Kontor,4056,1922,22.38591272,22.19538462,76.01084813,66.98446746,98.39676085,89.17985207,0.02425955642
137,Ralltranorna,Blåhake,Kontor,3313,1986,46.3939027,43.24333303,33.79396126,31.43942669,80.18786396,74.68275972,0.02420400361
121,Ralltranorna,Tygeltärna,Kontor,3341,null,30.10083807,29.90769231,50.76324454,42.80155642,80.86408261,72.70924873,0.0242035566
350,Simrallarna,Tallsparv,Flerbostadshus,2542,1991,41.66042486,29.47128245,18.61857808,26.29389906,60.27900295,55.76518151,0.0237132191
1,Värnfåglarna,Sibirisk Tundrapipare,Kontor,2265,null,7.713907285,2.97897173,44.72759382,36.1163755,52.4415011,39.09534723,0.02315298062
167,Dunrallarna,Sibirisk Tundrapipare,Kontor,2265,null,7.713907285,2.97897173,44.72759382,36.1163755,52.4415011,39.09534723,0.02315298062
365,Rallarna,Kärrtärna,Flerbostadshus,4608,1950,7.926215278,8.224755859,98.71310764,82.36545139,106.6393229,90.59020725,0.02314221417
210,Trappfåglarna,Stäpphök,Flerbostadshus,2644,1947,5.853422844,4.482363843,54.80068079,46.19856278,60.65410363,50.68092663,0.02294028125
10,Värnfåglarna,Smutsgam,Kontor,3776,null,13.49141949,9.464618644,72.02807203,43.79764584,85.51949153,53.26226448,0.02264817043
176,Dunrallarna,Smutsgam,Kontor,3776,null,13.49141949,9.464618644,72.02807203,43.79764584,85.51949153,53.26226448,0.02264817043
5,Värnfåglarna,Fältsångare,Kontor,3839,null,15.44157281,16.39576739,70.47877051,52.04949206,85.92034332,68.44525944,0.02238091777
171,Dunrallarna,Fältsångare,Kontor,3839,null,15.44157281,16.39576739,70.47877051,52.04949206,85.92034332,68.44525944,0.02238091777
75,Fasanfåglarna,Rödvingad Vadarsvala,Kontor,2910,null,13.2942268,9.775505155,51.79896907,40.29209622,65.09319588,50.06760137,0.02236879583
31,Trädhönsen,Havstrut,Kontor,3286,1922,11.22835545,14.71243031,62.18715764,63.29793061,73.41551309,78.01036093,0.02234190903
100,Trumpetarna,Sparvhök,Kontor,2533,1981,15.89401421,14.46785472,39.44571654,31.00631662,55.33973075,45.47417134,0.02184750523
329,Tranorna,Stjärtand,Flerbostadshus,6545,2004,47.9371123,45.60825057,94.15034377,80.43666921,142.0874561,126.0449198,0.02170931338
206,Trappfåglarna,Klippsvala,Flerbostadshus,3585,1955,5.156004742,5.103803626,69.44769874,65.37238494,74.60370349,70.47618856,0.02080995913
151,Ralltranorna,Mellanspett,Kontor,2407,1975,28.9281263,28.10843373,20.94432904,15.45658496,49.87245534,43.5650187,0.0207197571
218,Trappfåglarna,Snösparv,Flerbostadshus,4299,1964,9.963314259,10.0515478,78.78041405,72.14305652,88.74372831,82.19460433,0.02064287702
